DB,DB_Object_ID,DB_Object_Symbol,Qualifier,GO_ID,DB_Reference,Evidence_Code,With_From,Aspect,DB_Object_Name,DB_Object_Synonym,DB_Object_Type,Taxon,Date,Assigned_By
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0000298,GO_REF:0000033,IBA,PANTHER:PTN000290327|RGD:1310183|SGD:S000005689|UniProtKB:O95989,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20231108,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0003723,GO_REF:0000043,IEA,UniProtKB-KW:KW-0694,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,UniProt
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0005515,PMID:33961781,IPI,UniProtKB:Q8NFP7,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250222,IntAct
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0008486,GO_REF:0000003,IEA,EC:3.6.1.52,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,UniProt
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0008486,GO_REF:0000033,IBA,FB:FBgn0036111|MGI:MGI:1930957|MGI:MGI:2147931|PANTHER:PTN000290327|PomBase:SPAC13G6.14|SGD:S000005689|UniProtKB:O95989|UniProtKB:Q9NZJ9,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20241120,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0016462,GO_REF:0000002,IEA,InterPro:IPR047198,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,InterPro
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0016787,GO_REF:0000002,IEA,InterPro:IPR020084,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,InterPro
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0016787,GO_REF:0000043,IEA,UniProtKB-KW:KW-0378,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,UniProt
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0034431,GO_REF:0000033,IBA,FB:FBgn0036111|PANTHER:PTN000290327|PomBase:SPAC13G6.14|SGD:S000005689,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20210530,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0034432,GO_REF:0000033,IBA,PANTHER:PTN000290327|PomBase:SPAC13G6.14|SGD:S000005689,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20170228,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,enables,GO:0046872,GO_REF:0000043,IEA,UniProtKB-KW:KW-0479,F,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,UniProt
UniProtKB,A0A024RBG1,NUDT4B,involved_in,GO:0071543,GO_REF:0000033,IBA,PANTHER:PTN000290327|UniProtKB:O95989,P,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20230110,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,involved_in,GO:1901907,GO_REF:0000033,IBA,PANTHER:PTN000290327|PomBase:SPAC13G6.14,P,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20170228,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,involved_in,GO:1901909,GO_REF:0000033,IBA,PANTHER:PTN000290327|PomBase:SPAC13G6.14|UniProtKB:O95989,P,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20231108,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,involved_in,GO:1901911,GO_REF:0000033,IBA,PANTHER:PTN000290327|PomBase:SPAC13G6.14,P,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20170228,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,is_active_in,GO:0005634,GO_REF:0000033,IBA,FB:FBgn0036111|PANTHER:PTN000290326|UniProtKB:O95989,C,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20231108,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,is_active_in,GO:0005737,GO_REF:0000033,IBA,FB:FBgn0036111|PANTHER:PTN000290326|TAIR:locus:2090842|UniProtKB:A0A024RBG1|UniProtKB:O95989|UniProtKB:Q8NFP7|UniProtKB:Q96G61|UniProtKB:Q9NZJ9,C,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20231108,GO_Central
UniProtKB,A0A024RBG1,NUDT4B,located_in,GO:0005737,GO_REF:0000043,IEA,UniProtKB-KW:KW-0963,C,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,UniProt
UniProtKB,A0A024RBG1,NUDT4B,located_in,GO:0005737,GO_REF:0000044,IEA,UniProtKB-SubCell:SL-0086,C,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20250303,UniProt
UniProtKB,A0A024RBG1,NUDT4B,located_in,GO:0005829,GO_REF:0000052,IDA,,C,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,NUDT4B,protein,taxon:9606,20241022,HPA
